fit	dataset	canonical	n_pairs	median_pct	p95_pct	max_pct
seelig_cm_moib_nb_phantom	seelig	1	2688	0.08038	0.2836	2799
seelig_cm_moib_zinb_phantom	seelig	0	2688	0.08907	0.3922	2797
cohen_obsingle_nb_phantom	cohen	1	453	0.1018	0.3056	12.85
shendure_obs_nb	shendure	1	1462	0.1615	0.565	8.593
shendure_cm_moib_nb_phantom	shendure	0	2080	0.1742	3515	1.403e+04
cohen_obsingle_zinb_phantom	cohen	0	453	0.2377	0.6795	95.44
seelig_cm_nb_phantom	seelig	0	2688	0.2535	1.288	291
seelig_cm_zinb_phantom	seelig	0	2688	0.4149	1.49	91.33
shendure_obs_zinb	shendure	0	1462	2.887	16.24	46.84
shendure_cm_nb_phantom	shendure	0	2080	9.732	188.7	1246
shendure_cm_zinb_phantom	shendure	0	2080	15.81	91.41	597.3
